Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-;Current range
-1.56112670898438;363.537178082157;-3.8055419921875E-06;-1.56036376953125;1;1797;0.000133864662284031;-0.000614197832113131;10 µA
-1.5631103515625;363.735542081656;-3.8116455078125E-06;-1.56219482421875;1;1798;0.000133864662284031;-0.000614197832113131;10 µA
-1.56509399414063;363.933906081155;-3.8177490234375E-06;-1.56494140625;1;1799;0.000133864662284031;-0.000614197832113131;10 µA
-1.56707763671875;364.132270080654;-3.82415771484375E-06;-1.56646728515625;1;1800;0.000133864662284031;-0.000614197832113131;10 µA
-1.56906127929688;364.330634080154;-3.829345703125E-06;-1.56829833984375;1;1801;0.000133864662284031;-0.000614197832113131;10 µA
-1.571044921875;364.528998079653;-3.83544921875E-06;-1.5704345703125;1;1802;0.000133864662284031;-0.000614197832113131;10 µA
-1.57302856445313;364.727362079152;-3.84246826171875E-06;-1.57257080078125;1;1803;0.000133864662284031;-0.000614197832113131;10 µA
-1.57501220703125;364.925726078651;-3.848876953125E-06;-1.57379150390625;1;1804;0.000133864662284031;-0.000614197832113131;10 µA
-1.57699584960938;365.12409007815;-3.85528564453125E-06;-1.5765380859375;1;1805;0.000133864662284031;-0.000614197832113131;10 µA
-1.5789794921875;365.322454077649;-3.861083984375E-06;-1.57867431640625;1;1806;0.000133864662284031;-0.000614197832113131;10 µA
-1.58096313476563;365.520818077149;-3.8677978515625E-06;-1.5802001953125;1;1807;0.000133864662284031;-0.000614197832113131;10 µA
-1.58294677734375;365.719182076648;-3.873291015625E-06;-1.58233642578125;1;1808;0.000133864662284031;-0.000614197832113131;10 µA
-1.58493041992188;365.917546076147;-3.8787841796875E-06;-1.58447265625;1;1809;0.000133864662284031;-0.000614197832113131;10 µA
-1.5869140625;366.115910075646;-3.88458251953125E-06;-1.5863037109375;1;1810;0.000133864662284031;-0.000614197832113131;10 µA
-1.58889770507813;366.314274075145;-3.89068603515625E-06;-1.58843994140625;1;1811;0.000133864662284031;-0.000614197832113131;10 µA
-1.59088134765625;366.512638074645;-3.896484375E-06;-1.59088134765625;1;1812;0.000133864662284031;-0.000614197832113131;10 µA
-1.59286499023438;366.711002074144;-3.9031982421875E-06;-1.591796875;1;1813;0.000133864662284031;-0.000614197832113131;10 µA
-1.5948486328125;366.909366073643;-3.909912109375E-06;-1.59454345703125;1;1814;0.000133864662284031;-0.000614197832113131;10 µA
-1.59683227539063;367.107730073142;-3.91571044921875E-06;-1.5960693359375;1;1815;0.000133864662284031;-0.000614197832113131;10 µA
-1.59881591796875;367.306094072641;-3.92181396484375E-06;-1.597900390625;1;1816;0.000133864662284031;-0.000614197832113131;10 µA
-1.60079956054688;367.50445807214;-3.92791748046875E-06;-1.600341796875;1;1817;0.000133864662284031;-0.000614197832113131;10 µA
-1.602783203125;367.70282207164;-3.93402099609375E-06;-1.60186767578125;1;1818;0.000133864662284031;-0.000614197832113131;10 µA
-1.60476684570313;367.901186071139;-3.93951416015625E-06;-1.60400390625;1;1819;0.000133864662284031;-0.000614197832113131;10 µA
-1.60675048828125;368.099550070638;-3.94561767578125E-06;-1.6064453125;1;1820;0.000133864662284031;-0.000614197832113131;10 µA
-1.60873413085938;368.297914070137;-3.95172119140625E-06;-1.6082763671875;1;1821;0.000133864662284031;-0.000614197832113131;10 µA
-1.6107177734375;368.496278069636;-3.9581298828125E-06;-1.60980224609375;1;1822;0.000133864662284031;-0.000614197832113131;10 µA
-1.61270141601563;368.694642069136;-3.96453857421875E-06;-1.61224365234375;1;1823;0.000133864662284031;-0.000614197832113131;10 µA
-1.61468505859375;368.893006068635;-3.97064208984375E-06;-1.61407470703125;1;1824;0.000133864662284031;-0.000614197832113131;10 µA
-1.61666870117188;369.091370068134;-3.97735595703125E-06;-1.6162109375;1;1825;0.000133864662284031;-0.000614197832113131;10 µA
-1.61865234375;369.289734067633;-3.98345947265625E-06;-1.6180419921875;1;1826;0.000133864662284031;-0.000614197832113131;10 µA
-1.62063598632813;369.488098067132;-3.98956298828125E-06;-1.62017822265625;1;1827;0.000133864662284031;-0.000614197832113131;10 µA
-1.62261962890625;369.686462066631;-3.99566650390625E-06;-1.62261962890625;1;1828;0.000133864662284031;-0.000614197832113131;10 µA
-1.62460327148438;369.884826066131;-4.0020751953125E-06;-1.62384033203125;1;1829;0.000133864662284031;-0.000614197832113131;10 µA
-1.6265869140625;370.08319006563;-4.0087890625E-06;-1.62628173828125;1;1830;0.000133864662284031;-0.000614197832113131;10 µA
-1.62857055664063;370.281554065129;-4.01458740234375E-06;-1.6278076171875;1;1831;0.000133864662284031;-0.000614197832113131;10 µA
-1.63055419921875;370.479918064628;-4.02099609375E-06;-1.629638671875;1;1832;0.000133864662284031;-0.000614197832113131;10 µA
-1.63253784179688;370.678282064127;-4.02679443359375E-06;-1.6314697265625;1;1833;0.000133864662284031;-0.000614197832113131;10 µA
-1.634521484375;370.876646063626;-4.0338134765625E-06;-1.63360595703125;1;1834;0.000133864662284031;-0.000614197832113131;10 µA
-1.63650512695313;371.075010063126;-4.04052734375E-06;-1.6357421875;1;1835;0.000133864662284031;-0.000614197832113131;10 µA
-1.63848876953125;371.273374062625;-4.0472412109375E-06;-1.63787841796875;1;1836;0.000133864662284031;-0.000614197832113131;10 µA
-1.64047241210938;371.471738062124;-4.0533447265625E-06;-1.6400146484375;1;1837;0.000133864662284031;-0.000614197832113131;10 µA
-1.6424560546875;371.670102061623;-4.06036376953125E-06;-1.6424560546875;1;1838;0.000133864662284031;-0.000614197832113131;10 µA
-1.64443969726563;371.868466061122;-4.06707763671875E-06;-1.64398193359375;1;1839;0.000133864662284031;-0.000614197832113131;10 µA
-1.64642333984375;372.066830060622;-4.07379150390625E-06;-1.6461181640625;1;1840;0.000133864662284031;-0.000614197832113131;10 µA
-1.64840698242188;372.265194060121;-4.0802001953125E-06;-1.64764404296875;1;1841;0.000133864662284031;-0.000614197832113131;10 µA
-1.650390625;372.46355805962;-4.08660888671875E-06;-1.65008544921875;1;1842;0.000133864662284031;-0.000614197832113131;10 µA
-1.65237426757813;372.661922059119;-4.0936279296875E-06;-1.65191650390625;1;1843;0.000133864662284031;-0.000614197832113131;10 µA
-1.65435791015625;372.860286058618;-4.10003662109375E-06;-1.65374755859375;1;1844;0.000133864662284031;-0.000614197832113131;10 µA
-1.65634155273438;373.058650058117;-4.1058349609375E-06;-1.6558837890625;1;1845;0.000133864662284031;-0.000614197832113131;10 µA
-1.6583251953125;373.257014057617;-4.11224365234375E-06;-1.65740966796875;1;1846;0.000133864662284031;-0.000614197832113131;10 µA
-1.66030883789063;373.455378057116;-4.119873046875E-06;-1.65924072265625;1;1847;0.000133864662284031;-0.000614197832113131;10 µA
-1.66229248046875;373.653742056615;-4.1265869140625E-06;-1.661376953125;1;1848;0.000133864662284031;-0.000614197832113131;10 µA
-1.66427612304688;373.852106056114;-4.13299560546875E-06;-1.66412353515625;1;1849;0.000133864662284031;-0.000614197832113131;10 µA
-1.666259765625;374.050470055613;-4.13970947265625E-06;-1.6656494140625;1;1850;0.000133864662284031;-0.000614197832113131;10 µA
